st_teff,st_logg,st_rad,st_dist,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,Rp_Rs
5455.0,4.467,0.927,0,9.48803557,2.9575,615.8,2.26,93.59,793.0,0.146
5455.0,4.467,0.927,0,54.4183827,4.507,874.8,2.83,9.11,443.0,0.586
5853.0,4.544,0.868,0,19.89913995,1.7822,10829.0,14.6,39.3,638.0,0.969
5805.0,4.564,0.791,0,1.736952453,2.40641,8079.2,33.46,891.96,1395.0,1.276
6031.0,4.438,1.046,0,2.525591777,1.6545,603.3,2.75,926.16,1406.0,0.701
6046.0,4.486,0.972,0,11.09432054,4.5945,1517.5,3.9,114.81,835.0,0.538
6046.0,4.486,0.972,0,4.13443512,3.1402,686.0,2.77,427.65,1160.0,0.762
6046.0,4.486,0.972,0,2.56658897,2.429,226.5,1.59,807.74,1360.0,0.755
6227.0,3.986,1.958,0,7.36178958,5.022,233.7,39.21,767.22,1342.0,1.169
5031.0,4.485,0.848,0,16.06864674,3.5347,4914.3,5.76,30.75,600.0,0.052
5820.0,4.457,0.964,0,2.470613377,1.74319,14231.0,13.04,761.46,1339.0,0.818
6440.0,4.019,1.952,0,2.204735417,3.88864,6674.7,16.1,4148.92,2048.0,0.224
6225.0,4.169,1.451,0,3.522498429,3.19843,9145.7,14.59,1264.67,1521.0,0.631
5833.0,4.407,1.022,0,3.709214104,2.6302,131.1,1.16,500.46,1206.0,0.051
5795.0,4.554,0.848,0,11.521446064,3.6399,17984.0,150.51,75.88,753.0,2.483
5043.0,4.591,0.68,0,19.40393776,12.2155,8918.7,7.18,17.69,523.0,0.804
6117.0,4.496,0.947,0,19.221388942,4.79843,74284.0,49.29,55.97,698.0,1.065
5152.0,4.517,0.786,0,16.46983774,9.4378,10479.0,7.94,29.61,595.0,0.292
4856.0,4.583,0.696,0,9.27358173,3.2875,1288.3,2.47,41.85,649.0,0.387
4537.0,4.648,0.672,0,6.02930329,1.5821,1912.7,2.85,50.04,678.0,0.258
4989.0,4.504,0.819,0,2.696370652,3.6129,397.9,1.58,305.34,1066.0,0.044
5185.0,4.44,0.91,0,5.349553819,3.0278,831.0,2.55,168.99,919.0,0.092
5185.0,4.44,0.91,0,3.94105221,2.5984,363.3,1.7,253.15,1018.0,0.226
5185.0,4.44,0.91,0,8.10904807,3.596,217.4,1.3,97.03,800.0,0.025
5543.0,4.081,1.58,0,386.6030528,6.8057,24927.0,41.5,1.84,297.0,0.9765
4954.0,4.5,0.828,0,21.67699193,3.4555,857.2,2.95,18.64,530.0,0.896
5339.0,4.552,0.847,0,4.99677968,2.1717,934.7,2.78,166.95,917.0,0.71
5644.0,4.564,0.831,0,4.280963604,2.875,750.8,2.3,247.87,1012.0,0.424
5714.0,4.563,0.831,0,1.50635409,1.5155,2211.7,4.53,1054.12,1452.0,0.86
5520.0,4.466,0.983,0,670.645531,53.412,18091.0,14.14,0.35,196.0,0.701
6144.0,4.402,1.091,0,61.2563628,7.633,5123.3,39.87,15.43,505.0,1.248
5481.0,4.369,1.036,0,38.3775486,5.588,724.2,2.82,18.53,529.0,0.468
5031.0,4.485,0.848,0,41.19725502,4.6297,2213.9,3.86,8.76,439.0,0.045
5031.0,4.485,0.848,0,6.252962249,2.5819,1036.9,2.65,108.3,823.0,0.105
5015.0,4.499,0.826,0,16.01308419,3.2554,1121.9,3.1,29.31,593.0,0.799
5586.0,4.56,0.798,0,32.62876672,4.7971,1804.8,3.36,15.55,506.0,0.021
5586.0,4.56,0.798,0,91.7732862,6.473,652.0,2.12,3.92,359.0,0.606
5712.0,4.359,1.082,0,4.959319244,2.22739,9802.0,12.21,349.4,1103.0,0.831
5550.0,4.468,0.91,0,2.701287801,3.3827,860.4,6.54,527.81,1222.0,1.016
6075.0,4.486,0.969,0,4.49876511,3.7362,460.0,2.1,389.62,1133.0,0.312
6074.0,4.391,1.063,0,19.651209505,5.2514,11766.0,12.42,67.03,730.0,0.723
5779.0,4.339,1.087,0,5.412203927,2.9472,601.6,2.94,337.68,1093.0,0.787
5468.0,4.367,1.046,0,41.43958662,10.5989,2793.1,5.5,16.72,516.0,0.355
5592.0,4.582,0.787,0,8.35389523,2.2514,1041.6,2.52,91.9,790.0,0.023
6174.0,4.417,1.103,0,4.125543472,3.1744,1487.3,4.43,565.35,1243.0,0.597
5532.0,4.452,0.955,0,2.816504904,2.50587,16814.0,12.21,521.13,1219.0,0.105
5040.0,4.628,0.705,0,33.93373447,14.561,8503.7,7.34,8.11,430.0,0.812
5880.0,4.518,0.917,0,3.689920099,2.6557,426.7,1.89,408.99,1147.0,0.151
5714.0,4.428,1.015,0,4.431238488,3.15,1010.9,3.25,351.23,1104.0,0.405
5714.0,4.428,1.015,0,11.37936986,2.6255,1023.5,3.95,99.68,806.0,0.911
5129.0,4.595,0.763,0,26.39432897,3.573,1510.9,3.07,13.49,489.0,0.602
5854.0,4.406,1.012,0,13.57078281,3.3539,511.7,2.64,89.61,785.0,0.866
5779.0,4.339,1.087,0,7.12594387,3.0014,192.4,1.79,233.31,997.0,0.898
6108.0,4.469,0.956,0,7.442652004,2.3078,24446.0,15.03,206.78,967.0,0.137
4126.0,4.661,0.615,0,16.38489988,3.0249,1127.1,2.0,8.35,433.0,0.001
4126.0,4.661,0.615,0,7.8774163,2.0805,1306.1,2.16,22.18,553.0,0.041
4126.0,4.661,0.615,0,36.4454001,4.007,1122.3,1.99,2.88,332.0,0.028
5497.0,4.577,0.809,0,3.728732147,2.683,5226.5,6.02,258.34,1023.0,0.558
5446.0,4.507,0.781,0,40.4195037,3.362,6256.0,7.51,11.29,467.0,0.911
4149.0,4.698,0.564,0,2.243380573,1.1196,821.7,1.99,107.6,822.0,0.915
5746.0,4.393,0.924,0,10.405998015,6.5036,14489.0,11.23,113.94,833.0,0.324
5005.0,4.595,0.765,0,2.337437946,1.9982,971.2,2.34,311.16,1070.0,0.28
5005.0,4.595,0.765,0,7.2406612,0.558,556.4,19.45,68.63,734.0,1.198
5779.0,4.339,1.087,0,3.43591631,3.133,23.2,0.55,617.61,1272.0,0.624
3688.0,4.79,0.473,0,11.59822233,2.5237,2804.5,2.65,5.82,396.0,0.679
5992.0,4.415,0.989,0,6.575315881,4.3084,2793.3,5.31,251.38,1015.0,0.39
5485.0,4.556,0.867,0,7.275040844,7.5377,3001.0,4.86,113.64,833.0,0.547
4077.0,4.702,0.56,0,19.27153892,2.7594,1219.8,1.93,5.66,393.0,0.031
4077.0,4.702,0.56,0,10.06524317,1.369,1053.3,1.91,13.43,488.0,0.628
5557.0,4.603,0.75,0,12.3935651,3.8896,916.6,2.66,49.68,677.0,0.883
5854.0,4.406,1.012,0,43.84439721,6.802,615.2,2.87,18.77,531.0,0.852
5295.0,4.551,0.811,0,3.341913228,3.813,725.3,21.55,268.67,1032.0,1.213
5735.0,4.41,0.973,0,1.626630225,2.1145,1620.6,32.43,1355.88,1547.0,1.26
6214.0,4.442,1.076,0,2.711504086,3.0099,837.5,3.12,960.79,1420.0,0.023
6214.0,4.442,1.076,0,7.21203748,4.0491,950.4,3.32,260.58,1025.0,0.012
5799.0,4.539,0.878,0,14.1798187,2.505,459.9,1.88,60.35,711.0,0.1601
5354.0,4.587,0.788,0,8.47237911,2.7245,1123.5,2.59,75.44,751.0,0.022
5354.0,4.587,0.788,0,60.4189369,5.039,931.3,2.36,5.49,390.0,0.094
5795.0,4.508,0.919,0,12.611904345,5.1497,6105.6,7.4,76.15,753.0,0.55
6017.0,4.22,1.339,0,1.433769925,1.8868,1976.3,46.58,3209.29,1920.0,1.268
5927.0,4.409,1.06,0,10.31872301,3.836,871.7,28.59,139.26,876.0,1.215
5519.0,4.35,1.062,0,2.539183147,2.4282,382.1,2.06,743.09,1332.0,0.238
5653.0,4.656,0.679,0,6.770300385,2.0844,1304.0,2.77,102.87,812.0,0.838
5255.0,4.678,0.636,0,0.444291966,2.0792,10967.0,27.51,2706.26,1836.0,1.258
5988.0,4.541,0.836,0,10.181584004,3.5089,5741.1,7.73,102.91,812.0,0.92
3950.0,4.754,0.493,0,20.06036336,3.3203,1494.7,1.96,4.0,361.0,0.556
3950.0,4.754,0.493,0,46.1842039,4.758,1394.7,1.83,1.32,273.0,0.013
5854.0,4.406,1.012,0,23.9800854,5.351,104.0,1.31,41.94,649.0,0.95
3950.0,4.754,0.493,0,7.82502168,2.186,520.8,1.2,14.05,494.0,0.708
5557.0,4.592,0.774,0,3.895936525,2.3111,8544.8,7.34,241.62,1005.0,0.524
5395.0,4.615,0.734,0,22.36646466,5.228,986.8,2.32,19.45,536.0,0.4
5539.0,4.322,1.106,0,1.625522174,2.38963,7969.0,9.73,1467.41,1579.0,0.076
5710.0,4.492,0.905,0,19.620346923,2.0038,21725.0,13.6,40.39,643.0,0.458
5657.0,4.567,0.824,0,7.544039,6.222,322.6,17.47,116.46,838.0,1.175
5349.0,4.526,0.82,0,9.02930689,3.1449,1019.8,2.57,77.75,757.0,0.024
5627.0,4.359,1.024,0,10.328035714,7.7915,16918.0,13.28,119.31,843.0,0.281
5485.0,4.556,0.867,0,143.2063047,8.9302,10566.0,8.9,2.14,308.0,0.379
